danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.399,0.00402,1,-37.809,1,0.0404,0.995,0.955,0.103,0.149,67.194,135253,3
0.562,0.463,11,-11.399,1,0.0293,0.32,0.0837,0.236,0.271,81.03,228947,4
0.453,0.753,1,-8.299,0,0.0911,0.134,0.00031,0.111,0.84,163.148,279427,4
0.453,0.878,4,-9.452,0,0.0501,0.00247,6.18e-05,0.632,0.241,127.657,175507,4
0.653,0.668,0,-8.183,1,0.0881,0.00116,0.00269,0.0731,0.711,160.048,257187,4
0.564,0.343,2,-14.678,1,0.0508,0.122,0.000286,0.166,0.471,115.366,128537,4
0.796,0.755,9,-9.778,1,0.0453,0.0157,9.22e-06,0.303,0.824,92.831,277293,4
0.331,0.394,11,-14.002,1,0.0295,0.248,0.000282,0.127,0.181,96.433,269227,4
0.775,0.857,8,-5.397,1,0.0354,0.192,0.0,0.268,0.856,100.02,293400,4
0.293,0.787,5,-8.841,1,0.0438,0.00774,0.496,0.392,0.139,165.307,658987,4
0.576,0.156,4,-14.689,0,0.071,0.982,0.00808,0.115,0.746,76.54,181840,4
0.772,0.298,7,-11.651,1,0.0631,0.666,0.0,0.244,0.529,119.973,49347,4
0.194,0.686,0,-7.066,1,0.0432,0.383,0.0,0.323,0.323,197.634,188840,3
0.793,0.494,7,-9.512,1,0.0294,0.18,3.05e-05,0.175,0.71,104.193,180560,4
0.522,0.293,4,-11.082,1,0.0508,0.933,8.67e-05,0.715,0.298,63.942,170000,4
0.701,0.469,9,-6.982,0,0.0362,0.0067,0.0497,0.102,0.605,127.408,211480,4
0.779,0.712,7,-9.162,1,0.357,0.0315,0.0,0.353,0.495,88.042,237200,4
0.507,0.756,9,-10.395,1,0.0891,0.921,0.0214,0.15,0.778,113.101,157040,3
0.508,0.913,6,-2.644,1,0.0432,0.000919,0.0,0.1,0.346,130.986,240627,4
0.541,0.346,3,-12.348,1,0.0308,0.822,0.0,0.311,0.617,121.135,127000,4
0.677,0.484,9,-10.506,0,0.0324,0.077,4.75e-05,0.135,0.697,123.534,247200,4
0.672,0.206,8,-15.155,1,0.393,0.676,0.0,0.0454,0.424,105.366,530933,4
0.228,0.161,10,-17.008,1,0.0363,0.952,0.888,0.124,0.0954,71.06,936000,4
0.662,0.822,5,-11.376,1,0.0293,0.915,0.125,0.0853,0.963,119.936,194467,4
0.728,0.517,1,-10.457,1,0.186,0.949,0.0,0.657,0.74,88.579,128747,4
0.538,0.536,3,-10.36,1,0.036,0.473,0.0,0.18,0.54,119.31,221373,4
0.743,0.0282,0,-24.323,0,0.46,0.883,0.0,0.163,0.376,98.718,74442,4
0.831,0.627,11,-6.614,0,0.176,0.276,0.0,0.199,0.76,108.042,150767,4
0.588,0.785,1,-11.13,0,0.0604,0.534,0.0,0.193,0.742,103.618,250107,4
0.63,0.137,1,-14.721,1,0.0364,0.986,0.0013,0.113,0.656,148.845,130573,3
0.268,0.578,10,-7.796,1,0.0383,0.0137,0.00281,0.106,0.201,154.204,307853,4
0.681,0.627,5,-6.376,0,0.03,0.148,0.00113,0.169,0.725,94.99,354613,4
0.596,0.686,2,-7.915,1,0.103,0.28,0.00969,0.0726,0.729,103.949,286613,4
0.442,0.364,0,-12.468,1,0.0468,0.91,0.0126,0.123,0.389,124.115,293800,4
0.186,0.0804,4,-23.683,1,0.0424,0.988,0.554,0.119,0.091,95.728,155720,4
0.715,0.585,4,-8.782,1,0.125,0.326,0.0,0.0439,0.939,143.473,151560,4
